university_id,major_id,province_id,year,subject_type,batch,min_score,min_rank,avg_score,plan_count
1,1,1,2023,物理类,本科批,669,700,676,6
1,1,1,2024,物理类,本科批,673,1,676,30
1,1,1,2025,物理类,本科批,681,1,688,15
1,2,1,2023,物理类,本科批,678,1,683,2
1,2,1,2024,物理类,本科批,671,300,674,5
1,2,1,2025,物理类,本科批,684,1,686,15
1,3,1,2023,物理类,本科批,678,1,685,15
1,3,1,2024,物理类,本科批,673,1,678,20
1,3,1,2025,物理类,本科批,673,1,681,4
1,4,1,2023,物理类,本科批,671,300,675,4
1,4,1,2024,物理类,本科批,675,1,677,3
1,4,1,2025,物理类,本科批,675,1,679,8
1,5,1,2023,物理类,本科批,669,700,677,2
1,5,1,2024,物理类,本科批,678,1,680,10
1,5,1,2025,物理类,本科批,679,1,683,25
1,6,1,2023,物理类,本科批,663,1900,669,5
1,6,1,2024,物理类,本科批,663,1900,670,5
1,6,1,2025,物理类,本科批,667,1100,675,5
1,7,1,2023,物理类,本科批,668,900,672,12
1,7,1,2024,物理类,本科批,665,1500,669,8
1,7,1,2025,物理类,本科批,675,1,679,30
1,8,1,2023,物理类,本科批,678,1,685,4
1,8,1,2024,物理类,本科批,673,1,676,12
1,8,1,2025,物理类,本科批,678,1,685,30
1,9,1,2023,物理类,本科批,653,1,660,8
1,9,1,2024,物理类,本科批,658,1,666,2
1,9,1,2025,物理类,本科批,664,1700,668,3
1,10,1,2023,物理类,本科批,662,2100,669,8
1,10,1,2024,物理类,本科批,665,1500,670,10
1,10,1,2025,物理类,本科批,661,2300,665,4
1,11,1,2023,物理类,本科批,661,2300,667,6
1,11,1,2024,物理类,本科批,661,2300,667,10
1,11,1,2025,物理类,本科批,661,2300,664,15
1,12,1,2023,物理类,本科批,652,1,660,2
1,12,1,2024,物理类,本科批,657,1,664,4
1,12,1,2025,物理类,本科批,668,900,670,10
1,13,1,2023,物理类,本科批,668,900,673,15
1,13,1,2024,物理类,本科批,671,300,679,2
1,13,1,2025,物理类,本科批,674,1,680,6
1,14,1,2023,物理类,本科批,668,900,672,10
1,14,1,2024,物理类,本科批,677,1,679,30
1,14,1,2025,物理类,本科批,681,1,689,4
1,15,1,2023,物理类,本科批,659,1,667,25
1,15,1,2024,物理类,本科批,673,1,679,20
1,15,1,2025,物理类,本科批,667,1100,671,4
1,16,1,2023,物理类,本科批,658,1,660,20
1,16,1,2024,物理类,本科批,662,2100,664,3
1,16,1,2025,物理类,本科批,662,2100,665,2
1,17,1,2023,物理类,本科批,677,1,679,3
1,17,1,2024,物理类,本科批,671,300,679,15
